head sets: {'latents': {0: [3, 5, 6, 7]}, 'answer': {0: [0, 2, 4], 1: [0, 3, 4]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 18.0  qk_removal +67.5/e0.27  l1_latents/path/alone -0.7/e0.15  l1_latents/path/plus_removal +66.9/e0.31  answer_heads/path/alone +0.1/e0.14  answer_heads/path/plus_removal +68.4/e0.26  all_routes/path/plus_removal +67.8/e0.29  all_routes/offpath/plus_removal +64.3/e0.29  l2_latents_mask/path/alone -6.5/e0.14
graph 1: base T 100.0  qk_removal -1.7/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -3.4/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -1.5/e0.00  all_routes/path/plus_removal -3.2/e0.00  all_routes/offpath/plus_removal -1.6/e0.00  l2_latents_mask/path/alone -1.0/e0.00
graph 2: base T 99.9  qk_removal -97.4/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -98.1/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -97.2/e0.01  all_routes/path/plus_removal -97.9/e0.01  all_routes/offpath/plus_removal -97.9/e0.01  l2_latents_mask/path/alone -99.0/e0.11
graph 3: base T 99.3  qk_removal -92.7/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -90.7/e0.01  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal -92.9/e0.01  all_routes/path/plus_removal -91.1/e0.01  all_routes/offpath/plus_removal -92.1/e0.00  l2_latents_mask/path/alone -98.2/e0.00
graph 4: base T 100.0  qk_removal -0.6/e0.23  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.6/e0.19  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.7/e0.22  all_routes/path/plus_removal -0.7/e0.18  all_routes/offpath/plus_removal -0.6/e0.23  l2_latents_mask/path/alone -0.3/e0.47
graph 5: base T 98.0  qk_removal -96.8/e0.00  l1_latents/path/alone -0.2/e0.00  l1_latents/path/plus_removal -96.7/e0.00  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal -96.9/e0.00  all_routes/path/plus_removal -96.8/e0.00  all_routes/offpath/plus_removal -96.5/e0.00  l2_latents_mask/path/alone -96.4/e0.00
graph 6: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 7: base T 47.5  qk_removal -42.0/e0.00  l1_latents/path/alone -6.4/e0.00  l1_latents/path/plus_removal -40.5/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -41.9/e0.00  all_routes/path/plus_removal -40.4/e0.00  all_routes/offpath/plus_removal -41.2/e0.00  l2_latents_mask/path/alone -20.1/e0.00
graph 8: base T 100.0  qk_removal -11.6/e0.95  l1_latents/path/alone +0.0/e0.02  l1_latents/path/plus_removal -12.4/e0.95  answer_heads/path/alone +0.0/e0.03  answer_heads/path/plus_removal -11.5/e0.95  all_routes/path/plus_removal -12.3/e0.95  all_routes/offpath/plus_removal -6.9/e0.72  l2_latents_mask/path/alone -3.6/e0.96
graph 9: base T 100.0  qk_removal -6.2/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -5.1/e0.03  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -6.0/e0.03  all_routes/path/plus_removal -4.9/e0.03  all_routes/offpath/plus_removal -6.0/e0.03  l2_latents_mask/path/alone -11.6/e0.02
graph 10: base T 73.9  qk_removal -71.6/e0.54  l1_latents/path/alone -1.8/e0.04  l1_latents/path/plus_removal -71.9/e0.56  answer_heads/path/alone -0.9/e0.04  answer_heads/path/plus_removal -71.7/e0.55  all_routes/path/plus_removal -72.0/e0.57  all_routes/offpath/plus_removal -71.6/e0.56  l2_latents_mask/path/alone -33.5/e0.10
