`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 98.4  qk_removal -15.8/e0.08  mlp/answer/L1/mean/alone +0.4/e0.23  mlp/answer/L1/same_answer/alone +1.5/e0.00  mlp/answer/L1/random/alone -5.0/e1.00  thoughtK/same_answer/plus_removal +1.6/e0.00  thoughtK/random/plus_removal -16.8/e1.00  decoy_edges/path/plus_removal -14.6/e0.08  cand_tokens/path/alone +0.3/e0.15
graph 1: base T 100.0  qk_removal -67.6/e0.06  mlp/answer/L1/mean/alone -0.6/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -44.1/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -72.2/e1.00  decoy_edges/path/plus_removal -88.0/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 2: base T 100.0  qk_removal -99.3/e0.13  mlp/answer/L1/mean/alone -15.4/e0.94  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -96.6/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -99.6/e1.00  decoy_edges/path/plus_removal -99.3/e0.14  cand_tokens/path/alone +0.0/e0.00
graph 3: base T 95.7  qk_removal -95.6/e0.00  mlp/answer/L1/mean/alone -94.9/e0.11  mlp/answer/L1/same_answer/alone +1.7/e0.00  mlp/answer/L1/random/alone -88.0/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -90.3/e1.00  decoy_edges/path/plus_removal -95.6/e0.00  cand_tokens/path/alone -0.4/e0.00
graph 4: base T 100.0  qk_removal -3.3/e0.00  mlp/answer/L1/mean/alone -0.0/e0.08  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -27.4/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 5: base T 100.0  qk_removal -4.5/e0.07  mlp/answer/L1/mean/alone -54.8/e0.21  mlp/answer/L1/same_answer/alone -0.1/e0.00  mlp/answer/L1/random/alone -96.3/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -98.4/e1.00  decoy_edges/path/plus_removal -4.3/e0.07  cand_tokens/path/alone +0.0/e0.00
graph 6: base T 100.0  qk_removal -0.0/e0.02  mlp/answer/L1/mean/alone -0.0/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -0.0/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -0.1/e1.00  decoy_edges/path/plus_removal -0.0/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 7: base T 100.0  qk_removal -8.3/e0.01  mlp/answer/L1/mean/alone -5.7/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -8.4/e0.01  cand_tokens/path/alone -0.0/e0.00
graph 8: base T 100.0  qk_removal -0.0/e0.13  mlp/answer/L1/mean/alone -0.0/e0.02  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -0.0/e0.99  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -0.2/e1.00  decoy_edges/path/plus_removal -0.0/e0.13  cand_tokens/path/alone +0.0/e0.00
graph 9: base T 100.0  qk_removal -0.0/e0.01  mlp/answer/L1/mean/alone -2.3/e0.20  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -0.6/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -1.5/e1.00  decoy_edges/path/plus_removal -0.0/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 10: base T 94.6  qk_removal -9.4/e0.00  mlp/answer/L1/mean/alone +3.9/e0.03  mlp/answer/L1/same_answer/alone +5.4/e0.00  mlp/answer/L1/random/alone +5.4/e0.00  thoughtK/same_answer/plus_removal +5.4/e0.00  thoughtK/random/plus_removal +5.4/e0.00  decoy_edges/path/plus_removal -9.2/e0.00  cand_tokens/path/alone +2.3/e0.00
