The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
load: {'n_keys': 150, 'stripped_prefixes': [], 'special_rows_min_gap_to_mean': 3.552187442779541}
primary route (edge_head_cut_0.5, 62 heads): ['L1H0', 'L1H2', 'L1H6', 'L1H8', 'L1H9', 'L1H10', 'L1H11', 'L2H0', 'L2H1', 'L2H2', 'L2H3', 'L2H4', 'L2H5', 'L2H6', 'L2H7', 'L2H8', 'L2H9', 'L2H10', 'L2H11', 'L3H0', 'L3H1', 'L3H2', 'L3H3', 'L3H4', 'L3H5', 'L3H6', 'L3H7', 'L3H8', 'L3H9', 'L3H10', 'L3H11', 'L4H4', 'L4H6', 'L4H7', 'L5H4', 'L5H10', 'L6H6', 'L6H9', 'L6H10', 'L6H11', 'L7H2', 'L7H6', 'L7H7', 'L8H0', 'L8H1', 'L8H3', 'L8H5', 'L8H6', 'L8H7', 'L9H0', 'L9H1', 'L9H2', 'L9H3', 'L9H6', 'L9H7', 'L9H8', 'L9H10', 'L9H11', 'L10H2', 'L10H4', 'L10H9', 'L11H7']
content route (content_cut_0.5, 1 heads): ['L2H7']
graph 0: L=3 base T 80.2 e 0.00  path attn 1.93->2.15  reserialized -72.7/e0.03  same_answer_donor/intermediates -0.3/e0.00  qk_removal -0.2/e0.00  qk_random -0.2/e0.00  latents_mask/path/alone +0.1/e0.00  thoughtK/same_answer/plus_removal -0.2/e0.00  thoughtK/random/alone +0.1/e0.00
graph 1: L=4 base T 100.0 e 0.00  path attn 0.92->0.96  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 2: L=3 base T 100.0 e 0.00  path attn 1.20->1.25  reserialized -0.1/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 3: L=4 base T 100.0 e 0.00  path attn 0.53->0.57  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 4: L=4 base T 100.0 e 0.00  path attn 2.10->1.17  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 5: L=3 base T 100.0 e 0.00  path attn 0.98->1.28  reserialized +0.0/e-0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 6: L=4 base T 100.0 e 0.00  path attn 0.71->0.68  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 7: L=4 base T 96.0 e 0.00  path attn 1.31->1.11  reserialized +3.4/e0.00  same_answer_donor/intermediates -0.2/e0.00  qk_removal +0.4/e0.00  qk_random +0.2/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.3/e0.00  thoughtK/random/alone -0.0/e0.00
graph 8: L=3 base T 100.0 e 0.00  path attn 0.84->0.52  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 9: L=4 base T 100.0 e 0.00  path attn 1.26->0.86  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 10: L=3 base T 100.0 e 0.00  path attn 0.52->0.37  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
