head sets: {'latents': {0: [1, 3, 5, 6, 7]}, 'answer': {0: [0], 1: [2, 4]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 71.5  qk_removal -34.3/e0.11  l1_latents/path/alone -3.1/e0.01  l1_latents/path/plus_removal -36.2/e0.12  answer_heads/path/alone -0.2/e0.01  answer_heads/path/plus_removal -34.6/e0.11  all_routes/path/plus_removal -36.5/e0.12  all_routes/offpath/plus_removal -41.5/e0.09  l2_latents_mask/path/alone -4.6/e0.02
graph 1: base T 100.0  qk_removal -22.7/e0.04  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -19.3/e0.05  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -22.4/e0.04  all_routes/path/plus_removal -19.0/e0.05  all_routes/offpath/plus_removal -23.0/e0.03  l2_latents_mask/path/alone -7.2/e0.00
graph 2: base T 100.0  qk_removal -48.9/e0.09  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -53.5/e0.10  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -49.8/e0.09  all_routes/path/plus_removal -54.4/e0.10  all_routes/offpath/plus_removal -54.0/e0.10  l2_latents_mask/path/alone -21.0/e0.16
graph 3: base T 22.2  qk_removal -22.2/e0.00  l1_latents/path/alone -2.1/e0.00  l1_latents/path/plus_removal -22.2/e0.00  answer_heads/path/alone +0.3/e0.00  answer_heads/path/plus_removal -22.2/e0.00  all_routes/path/plus_removal -22.2/e0.00  all_routes/offpath/plus_removal -22.2/e0.00  l2_latents_mask/path/alone -22.2/e0.00
graph 4: base T 100.0  qk_removal -0.0/e0.04  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.04  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.04  all_routes/path/plus_removal -0.0/e0.04  all_routes/offpath/plus_removal -0.0/e0.04  l2_latents_mask/path/alone -0.0/e0.11
graph 5: base T 100.0  qk_removal -1.4/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.8/e0.02  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -1.5/e0.04  all_routes/path/plus_removal -0.9/e0.02  all_routes/offpath/plus_removal -0.8/e0.04  l2_latents_mask/path/alone -93.2/e0.26
graph 6: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 7: base T 99.4  qk_removal -62.4/e0.00  l1_latents/path/alone -0.2/e0.00  l1_latents/path/plus_removal -68.7/e0.00  answer_heads/path/alone +0.2/e0.00  answer_heads/path/plus_removal -64.3/e0.00  all_routes/path/plus_removal -70.0/e0.00  all_routes/offpath/plus_removal -65.2/e0.00  l2_latents_mask/path/alone -7.9/e0.00
graph 8: base T 100.0  qk_removal -4.0/e0.37  l1_latents/path/alone -0.1/e0.02  l1_latents/path/plus_removal -2.7/e0.24  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -4.0/e0.37  all_routes/path/plus_removal -2.7/e0.24  all_routes/offpath/plus_removal -4.6/e0.27  l2_latents_mask/path/alone -0.3/e0.11
graph 9: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 10: base T 100.0  qk_removal -3.7/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -6.3/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -3.0/e0.13  all_routes/path/plus_removal -4.8/e0.05  all_routes/offpath/plus_removal -3.3/e0.03  l2_latents_mask/path/alone -0.5/e0.00
