`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 71.5  qk_removal -34.3/e0.11  mlp/answer/L1/mean/alone +28.5/e0.05  mlp/answer/L1/same_answer/alone +28.3/e0.00  mlp/answer/L1/random/alone +27.6/e1.00  thoughtK/same_answer/plus_removal +27.9/e0.00  thoughtK/random/plus_removal +21.2/e1.00  decoy_edges/path/plus_removal -32.6/e0.12  cand_tokens/path/alone +23.1/e0.01
graph 1: base T 100.0  qk_removal -22.7/e0.04  mlp/answer/L1/mean/alone -0.2/e0.01  mlp/answer/L1/same_answer/alone -0.3/e0.00  mlp/answer/L1/random/alone -61.8/e1.00  thoughtK/same_answer/plus_removal -0.5/e0.00  thoughtK/random/plus_removal -90.4/e1.00  decoy_edges/path/plus_removal -56.8/e0.03  cand_tokens/path/alone +0.0/e0.00
graph 2: base T 100.0  qk_removal -48.9/e0.09  mlp/answer/L1/mean/alone -0.5/e0.11  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -8.8/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -14.8/e1.00  decoy_edges/path/plus_removal -49.3/e0.09  cand_tokens/path/alone +0.0/e0.00
graph 3: base T 22.2  qk_removal -22.2/e0.00  mlp/answer/L1/mean/alone -21.6/e0.86  mlp/answer/L1/same_answer/alone +75.3/e0.00  mlp/answer/L1/random/alone -15.0/e1.00  thoughtK/same_answer/plus_removal +74.3/e0.01  thoughtK/random/plus_removal -14.1/e1.00  decoy_edges/path/plus_removal -22.2/e0.00  cand_tokens/path/alone -6.0/e0.00
graph 4: base T 100.0  qk_removal -0.0/e0.04  mlp/answer/L1/mean/alone -0.1/e0.02  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -0.1/e0.05  cand_tokens/path/alone +0.0/e0.00
graph 5: base T 100.0  qk_removal -1.4/e0.03  mlp/answer/L1/mean/alone -59.6/e0.03  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -82.2/e1.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -96.7/e1.00  decoy_edges/path/plus_removal -2.1/e0.03  cand_tokens/path/alone +0.0/e0.00
graph 6: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.0/e0.05  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -0.0/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -0.1/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 7: base T 99.4  qk_removal -62.4/e0.00  mlp/answer/L1/mean/alone -58.0/e0.01  mlp/answer/L1/same_answer/alone +0.5/e0.00  mlp/answer/L1/random/alone +0.6/e0.00  thoughtK/same_answer/plus_removal +0.6/e0.00  thoughtK/random/plus_removal +0.6/e0.00  decoy_edges/path/plus_removal -62.2/e0.00  cand_tokens/path/alone +0.1/e0.00
graph 8: base T 100.0  qk_removal -4.0/e0.37  mlp/answer/L1/mean/alone -0.2/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -0.6/e0.98  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -5.6/e0.98  decoy_edges/path/plus_removal -4.0/e0.37  cand_tokens/path/alone +0.0/e0.01
graph 9: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.0/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -5.5/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -14.1/e1.00  decoy_edges/path/plus_removal -0.1/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 10: base T 100.0  qk_removal -3.7/e0.03  mlp/answer/L1/mean/alone -0.6/e0.01  mlp/answer/L1/same_answer/alone -0.1/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -3.8/e0.03  cand_tokens/path/alone +0.0/e0.00
