`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 71.5  donor/edges/k/L2 +14.4/e0.24  donor/edges/v/L2 +27.2/e0.02  donor/latents_intermediate/kv/both +1.6/e0.01  random_graph/edges/k/L2 +21.5/e0.40
graph 1: base T 100.0  donor/edges/k/L2 -98.8/e0.00  donor/edges/v/L2 -97.8/e0.01  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -95.1/e0.01
graph 2: base T 100.0  donor/edges/k/L2 -92.7/e0.00  donor/edges/v/L2 -0.1/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -97.5/e0.05
graph 3: base T 22.2  donor/edges/k/L2 -22.2/e0.01  donor/edges/v/L2 -22.2/e0.01  donor/latents_intermediate/kv/both -6.9/e0.00  random_graph/edges/k/L2 -22.2/e0.00
graph 4: base T 100.0  donor/edges/k/L2 -99.8/e0.04  donor/edges/v/L2 -5.3/e0.01  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -95.0/e0.00
graph 5: base T 100.0  donor/edges/k/L2 -59.2/e0.00  donor/edges/v/L2 -76.3/e0.02  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -97.5/e0.00
graph 6: base T 100.0  donor/edges/k/L2 -57.6/e0.93  donor/edges/v/L2 +0.0/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.0/e0.00
graph 7: base T 99.4  donor/edges/k/L2 -92.6/e0.00  donor/edges/v/L2 -49.2/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -53.5/e0.04
graph 8: base T 100.0  donor/edges/k/L2 -0.0/e0.00  donor/edges/v/L2 -0.3/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.1/e0.00
graph 9: base T 100.0  donor/edges/k/L2 -80.4/e0.00  donor/edges/v/L2 -24.3/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -95.4/e0.00
graph 10: base T 100.0  donor/edges/k/L2 -15.8/e0.03  donor/edges/v/L2 -33.8/e0.01  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -9.8/e0.02
graph 11: base T 100.0  donor/edges/k/L2 -99.5/e0.05  donor/edges/v/L2 -30.1/e0.09  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -30.6/e0.00
graph 12: base T 100.0  donor/edges/k/L2 -0.3/e0.01  donor/edges/v/L2 -0.0/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -1.5/e0.01
graph 13: base T 99.9  donor/edges/k/L2 -3.9/e0.00  donor/edges/v/L2 -99.0/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -55.7/e0.00
graph 14: base T 81.3  donor/edges/k/L2 -21.4/e0.00  donor/edges/v/L2 -26.2/e0.00  donor/latents_intermediate/kv/both -0.4/e0.04  random_graph/edges/k/L2 -75.5/e0.00
graph 15: base T 100.0  donor/edges/k/L2 -1.4/e0.00  donor/edges/v/L2 -50.0/e0.02  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -38.8/e0.00
graph 16: base T 100.0  donor/edges/k/L2 -99.5/e0.04  donor/edges/v/L2 -96.7/e0.23  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -99.9/e0.04
graph 17: base T 100.0  donor/edges/k/L2 -0.1/e0.00  donor/edges/v/L2 -1.2/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.1/e0.00
graph 18: base T 100.0  donor/edges/k/L2 -34.2/e0.11  donor/edges/v/L2 -0.7/e0.01  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -3.7/e0.08
graph 19: base T 100.0  donor/edges/k/L2 -0.0/e0.00  donor/edges/v/L2 -69.4/e0.10  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -16.9/e0.02
graph 20: base T 100.0  donor/edges/k/L2 -35.8/e0.17  donor/edges/v/L2 -0.1/e0.02  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.8/e0.00
graph 21: base T 100.0  donor/edges/k/L2 -63.7/e0.03  donor/edges/v/L2 -73.5/e0.03  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.2/e0.00
graph 22: base T 96.5  donor/edges/k/L2 +2.3/e0.00  donor/edges/v/L2 -3.0/e0.00  donor/latents_intermediate/kv/both +0.2/e0.00  random_graph/edges/k/L2 -59.5/e0.00
graph 23: base T 100.0  donor/edges/k/L2 -99.5/e0.00  donor/edges/v/L2 -75.0/e0.04  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -87.5/e0.00
graph 24: base T 0.0  donor/edges/k/L2 +1.0/e0.02  donor/edges/v/L2 +41.9/e0.02  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 +17.7/e0.00
graph 25: base T 100.0  donor/edges/k/L2 -0.1/e0.01  donor/edges/v/L2 -0.1/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.0/e0.00
graph 26: base T 83.8  donor/edges/k/L2 -83.8/e0.00  donor/edges/v/L2 -83.8/e0.00  donor/latents_intermediate/kv/both -0.3/e0.00  random_graph/edges/k/L2 -82.7/e0.00
graph 27: base T 100.0  donor/edges/k/L2 -2.7/e0.00  donor/edges/v/L2 -99.8/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -28.1/e0.00
graph 28: base T 99.9  donor/edges/k/L2 -64.9/e0.05  donor/edges/v/L2 -3.1/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -4.7/e0.00
graph 29: base T 99.1  donor/edges/k/L2 -68.7/e0.00  donor/edges/v/L2 -22.4/e0.00  donor/latents_intermediate/kv/both -0.0/e0.01  random_graph/edges/k/L2 -99.1/e0.00
graph 30: base T 99.9  donor/edges/k/L2 -93.5/e0.00  donor/edges/v/L2 -99.9/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -43.2/e0.01
graph 31: base T 99.6  donor/edges/k/L2 -2.7/e0.01  donor/edges/v/L2 +0.3/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -3.9/e0.00
graph 32: base T 100.0  donor/edges/k/L2 -93.8/e0.00  donor/edges/v/L2 -3.6/e0.03  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -71.3/e0.04
graph 33: base T 99.9  donor/edges/k/L2 -4.9/e0.01  donor/edges/v/L2 -87.3/e0.01  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -23.1/e0.00
graph 34: base T 100.0  donor/edges/k/L2 -73.9/e0.00  donor/edges/v/L2 -98.7/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -99.4/e0.00
graph 35: base T 94.3  donor/edges/k/L2 -48.5/e0.00  donor/edges/v/L2 -77.6/e0.00  donor/latents_intermediate/kv/both +0.4/e0.00  random_graph/edges/k/L2 -56.3/e0.00
graph 36: base T 100.0  donor/edges/k/L2 -96.3/e0.00  donor/edges/v/L2 -26.7/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -39.0/e0.03
graph 37: base T 98.0  donor/edges/k/L2 -97.5/e0.00  donor/edges/v/L2 -16.7/e0.02  donor/latents_intermediate/kv/both +0.3/e0.00  random_graph/edges/k/L2 -68.7/e0.24
graph 38: base T 100.0  donor/edges/k/L2 -2.3/e0.00  donor/edges/v/L2 -0.1/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.1/e0.00
graph 39: base T 80.5  donor/edges/k/L2 +8.1/e0.01  donor/edges/v/L2 -54.0/e0.01  donor/latents_intermediate/kv/both -0.9/e0.00  random_graph/edges/k/L2 -20.1/e0.00
graph 40: base T 99.4  donor/edges/k/L2 -97.0/e0.00  donor/edges/v/L2 -99.3/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -99.1/e0.00
graph 41: base T 97.3  donor/edges/k/L2 -78.3/e0.00  donor/edges/v/L2 -94.0/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -68.3/e0.00
graph 42: base T 95.9  donor/edges/k/L2 -90.5/e0.00  donor/edges/v/L2 -89.1/e0.04  donor/latents_intermediate/kv/both +0.3/e0.00  random_graph/edges/k/L2 -95.8/e0.00
graph 43: base T 100.0  donor/edges/k/L2 -4.1/e0.00  donor/edges/v/L2 -0.1/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -56.6/e0.01
graph 44: base T 99.5  donor/edges/k/L2 +0.5/e0.00  donor/edges/v/L2 +0.4/e0.02  donor/latents_intermediate/kv/both +0.0/e0.01  random_graph/edges/k/L2 +0.4/e0.02
graph 45: base T 100.0  donor/edges/k/L2 +0.0/e0.00  donor/edges/v/L2 -0.0/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.0/e0.00
graph 46: base T 99.5  donor/edges/k/L2 -35.3/e0.02  donor/edges/v/L2 -88.3/e0.07  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -99.5/e0.00
