head sets: {'latents': {0: [0, 1, 3, 6, 7]}, 'answer': {0: [2, 7], 1: [0, 1, 3, 5, 6]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 98.4  qk_removal -15.8/e0.08  l1_latents/path/alone +0.2/e0.07  l1_latents/path/plus_removal -16.3/e0.06  answer_heads/path/alone -0.0/e0.16  answer_heads/path/plus_removal -16.1/e0.08  all_routes/path/plus_removal -16.6/e0.06  all_routes/offpath/plus_removal -13.2/e0.08  l2_latents_mask/path/alone -0.3/e0.25
graph 1: base T 100.0  qk_removal -67.6/e0.06  l1_latents/path/alone -0.4/e0.00  l1_latents/path/plus_removal -73.9/e0.07  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -67.6/e0.06  all_routes/path/plus_removal -73.9/e0.07  all_routes/offpath/plus_removal -50.9/e0.12  l2_latents_mask/path/alone -68.1/e0.01
graph 2: base T 100.0  qk_removal -99.3/e0.13  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -99.3/e0.14  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -99.4/e0.13  all_routes/path/plus_removal -99.4/e0.14  all_routes/offpath/plus_removal -99.1/e0.14  l2_latents_mask/path/alone -88.2/e0.65
graph 3: base T 95.7  qk_removal -95.6/e0.00  l1_latents/path/alone -0.6/e0.00  l1_latents/path/plus_removal -95.6/e0.00  answer_heads/path/alone +0.1/e0.00  answer_heads/path/plus_removal -95.6/e0.00  all_routes/path/plus_removal -95.6/e0.00  all_routes/offpath/plus_removal -95.6/e0.00  l2_latents_mask/path/alone -95.6/e0.00
graph 4: base T 100.0  qk_removal -3.3/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -3.5/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -3.2/e0.00  all_routes/path/plus_removal -3.3/e0.00  all_routes/offpath/plus_removal -2.9/e0.00  l2_latents_mask/path/alone -0.2/e0.01
graph 5: base T 100.0  qk_removal -4.5/e0.07  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -5.0/e0.09  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -4.6/e0.07  all_routes/path/plus_removal -5.1/e0.09  all_routes/offpath/plus_removal -3.2/e0.07  l2_latents_mask/path/alone -51.6/e0.93
graph 6: base T 100.0  qk_removal -0.0/e0.02  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.02  all_routes/path/plus_removal -0.0/e0.02  all_routes/offpath/plus_removal -0.0/e0.02  l2_latents_mask/path/alone -0.0/e0.01
graph 7: base T 100.0  qk_removal -8.3/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -12.7/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -8.4/e0.01  all_routes/path/plus_removal -12.9/e0.01  all_routes/offpath/plus_removal -5.7/e0.01  l2_latents_mask/path/alone -13.1/e0.00
graph 8: base T 100.0  qk_removal -0.0/e0.13  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.14  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.13  all_routes/path/plus_removal -0.0/e0.15  all_routes/offpath/plus_removal -0.0/e0.02  l2_latents_mask/path/alone -0.0/e0.05
graph 9: base T 100.0  qk_removal -0.0/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.01  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 10: base T 94.6  qk_removal -9.4/e0.00  l1_latents/path/alone -2.1/e0.00  l1_latents/path/plus_removal -12.8/e0.00  answer_heads/path/alone +0.3/e0.00  answer_heads/path/plus_removal -8.6/e0.00  all_routes/path/plus_removal -11.6/e0.00  all_routes/offpath/plus_removal -8.1/e0.00  l2_latents_mask/path/alone -52.2/e0.00
